T_condensador;T_evaporador;capacidade;eficiencia;potencia;fluxo_massa;;;
318;238;91;1.34;68;1.75;;;
318;243;132;1.56;85;2.55;;;
318;248;182;1.81;101;3.54;;;
318;253;244;2.09;117;4.75;;;
318;258;319;2.42;132;6.22;;;
318;263;410;2.8;146;8.01;;;
328;243;110;1.39;79;2.13;;;
328;248;159;1.62;98;3.08;;;
328;253;220;1.86;118;4.27;;;
328;258;294;2.12;138;5.72;;;
328;263;383;2.41;159;7.49;;;
338;248;132;1.39;95;2.56;;;
328;253;191;1.63;117;3.71;;;
338;258;263;1.86;142;5.13;;;
338;263;351;2.09;168;6.87;;;
