T_condensador;T_evaporador;capacidade;eficiencia;potencia;fluxo_massa
318;238;111;0.75;148;2.13
318;243;152;0.91;167;2.94
318;248;207;1.08;191;4.01
318;253;277;1.27;218;5.37
318;258;363;1.47;247;7.07
318;263;467;1.69;277;9.13
318;268;590;1.93;306;11.58
318;273;732;2.2;333;14.46
318;278;896;2.51;357;17.81
318;283;1082;2.88;376;21.64
318;288;1291;3.32;389;26
328;243;138;0.86;160;2.67
328;248;190;1.02;186;3.69
328;253;257;1.19;216;5
328;258;340;1.36;251;6.63
328;263;441;1.53;288;8.62
328;268;560;1.71;327;10.99
328;273;698;1.91;365;13.79
328;278;857;2.13;403;17.04
328;283;1039;2.37;438;20.78
328;288;1243;2.65;469;25
338;248;168;0.98;173;3.27
338;253;233;1.14;205;4.51
338;258;312;1.28;243;6.08
338;263;409;1.43;286;7.99
338;268;524;1.58;332;10.29
338;273;658;1.73;381;13
338;278;813;1.89;430;16.15
338;283;989;2.07;479;19.79
338;288;1188;2.26;525;23.94
