T_cond_C;T_evap_C;capacidade;eficiencia;consumo;corrente;fluxo_massa;T_cond_K;T_evap_K
35;-20;5256;5.9;890;4.71;27.5;308;253
35;-15;7178;7.27;987;5.14;37.68;308;258
35;-10;9321;8.56;1089;5.59;49.14;308;263
35;-5;11629;9.78;1189;6.07;61.62;308;268
35;0;14042;10.94;1283;6.55;74.83;308;273
35;5;16502;12.09;1366;7.05;88.5;308;278
35;10;18952;13.25;1430;7.55;102.34;308;283
45;-20;4234;4.59;922;4.74;23.66;318;253
45;-15;5965;5.78;1032;5.31;33.45;318;258
45;-10;7933;6.85;1158;5.9;44.67;318;263
45;-5;10078;7.78;1295;6.51;57.05;318;268
45;0;12345;8.59;1437;7.13;70.32;318;273
45;5;14674;9.29;1579;7.76;84.19;318;278
45;10;17007;9.92;1715;8.39;98.38;318;283
55;-10;6693;5.7;1175;6.2;40.59;328;263
55;-5;8639;6.5;1329;6.94;52.66;328;268
55;0;10721;7.14;1501;7.7;65.76;328;273
55;5;12880;7.65;1684;8.46;79.61;328;278
55;10;15058;8.04;1873;9.22;93.93;328;283
